url,judul,tanggal,isi
https://finance.detik.com/berita-ekonomi-bisnis/d-5607744/kok-pemerintah-sampai-ada-ide-tarik-pajak-melahirkan,Kok Pemerintah Sampai Ada Ide Tarik Pajak Melahirkan?,"Rabu, 16 Jun 2021 11:25 WIB","Jasa pelayanan kesehatan medis mulai dari jasa dokter umum sampai biaya melahirkan berpotensi dikenakan pajak pertambahan nilai (PPN). Saat ini, jasa pelayanan kesehatan medis masih tergolong jasa yang tidak dikenakan PPN. Namun, dalam draf RUU Perubahan Kelima Atas Undang-undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan (KUP) yang bocor ke publik, jasa ini dihapus dari golongan bebas PPN. Artinya nanti jasa satu ini juga bakal dikenai pajak. Staf Khusus Menteri Keuangan (Menkeu) Yustinus Prastowo menjelaskan alasan pemerintah menghapus jasa pelayanan kesehatan medis dari golongan bebas PPN. Alasan utamanya karena dalam UU yang ada terlalu banyak pengecualian, sehingga menyebabkan banyak barang atau jasa tidak dapat dikenai pajak, padahal seharusnya dikenakan pajak. ""Konsekuensinya terjadi ketidakadilan, karena barang atau jasa tersebut tidak lagi dibedakan dalam jenis, dalam kelompok harga, dalam segmen konsumennya, tapi langsung dikecualikan,"" ujar Yustinus kepada detikcom, Rabu (18/6/2021). ""Misal di sembako, ada daging wagyu, ada daging di pasar, kok sama-sama nggak kena PPN sih? Common sense kita pasti mengatakan tidak adil kan,"" sambungnya. Demikian pula di jasa pelayanan kesehatan. Selama ini, pelayanan kesehatan untuk masyarakat golongan atas terutama pelayanan kesehatan sekunder seperti perawatan kecantikan, tidak pernah dikenai pajak. Padahal, seharusnya masuk dalam objek pajak. ""Jasa kesehatan misalnya saya beri contoh jasa estetis untuk perawatan wajah, perawatan kulit, macam-macam, itu kan non medis sebenarnya kan. Tapi selama ini juga dikecualikan, nah ini kan tidak adil,"" imbuhnya. Di sisi lain, tanpa dikenai pajak, pemerintah sulit mendata pelayanan jasa kesehatan yang bukan medis atau pelayanan jasa kesehatan yang sekunder tadi secara komprehensif. ""Selama ini dalam sistem perpajakan kita tidak pernah bisa dicatat. Misal produksi beras berapa, yang jual beras berapa, yang beli siapa, daging, telor, susu, itu nggak masuk dalam sistem perpajakan kita, sehingga tidak tertata. Ini bisa menimbulkan distorsi, karena ada produk yang mengandung barang-barang itu tapi tidak tahu kita berapa sebenarnya yang digunakan,"" terangnya."
https://news.detik.com/berita/d-5607579/syarief-hasan-minta-pemerintah-kaji-ulang-beberapa-kebijakan-kontraproduktif,Syarief Hasan Minta Pemerintah Kaji Ulang Beberapa Kebijakan Kontraproduktif,"Rabu, 16 Jun 2021 08:44 WIB","Wakil Ketua MPR RI Syarief Hasan mempertanyakan kebijakan-kebijakan pemerintah yang kontraproduktif di masa Pandemi COVID-19. Syarief menilai, rencana kenaikan tarif Pajak Pertambahan Nilai (PPN) kontraproduktif dengan kebijakan pemulihan ekonomi nasional. ""Pemerintah membuat kebijakan pemulihan ekonomi tetapi menaikkan PPN yang dapat berimbas pada kenaikan harga-harga sembako di masyarakat,"" ungkap Syarief Hasan dalam keterangannya, Rabu (16/5/2021). Berdasarkan RUU tentang Perubahan Kelima atas Undang-Undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan, rencananya, Menteri Keuangan RI akan menaikkan tarif PPN dari 10% menjadi 12%. Di dalam RUU tersebut, pemerintah juga merencanakan penetapan PPN pendidikan hingga alat-alat kesehatan. Syarief menilai, kenaikan tarif PPN ini berdampak pada kenaikan pada harga barang-barang dari tarif awal. ""Kenaikan tarif PPN ini akan menimbulkan effect price inflation atau kenaikan harga-harga barang, khususnya sembilan bahan pokok yang menjadi kebutuhan utama masyarakat,"" ungkapnya. Syarief juga mengakui, kenaikan harga barang-barang ini akan kembali berefek pada penurunan daya beli masyarakat. ""Ketika harga barang naik yang disebabkan oleh tarif PPN maka akan berdampak pada penurunan daya beli masyarakat dan melemahkan sisi konsumsinya,"" terangnya. Menurut Syarief rencana penetapan PPN jasa pendidikan dan alat-alat kesehatan juga tidak menunjukkan keberpihakan kepada rakyat. ""Rakyat yang umumnya tidak mampu butuh Kesehatan, dan alat-alat kesehatan salah satu kunci pengobatan dan peningkatan kesehatan,"" ungkap Syarief Hasan. Ia juga menyoroti rencana PLN yang akan mencabut subsidi 15,2 juta pengguna listrik yang disinyalir akan semakin mempersulit proses pemulihan ekonomi nasional. ""Tentu, akan sangat sulit melakukan pemulihan ekonomi nasional karena daya beli masyarakat menjadi semakin lemah. COVID-19 yang menimbulkan PHK dan peningkatan angka kemiskinan semakin diperparah dengan kenaikan PPN dan dicabutnya subsidi listrik ini. kondisi ini semua membuat rakyat semakin tidak berdaya akibat semakin menurunnya daya beli rakyat,"" tegas Syarief. Oleh karena itu, Politisi Senior Partai Demokrat ini pun menyatakan dengan tegas agar Pemerintah mengkaji ulang kebijakan ini. ""Pemerintah harus mengkaji ulang rencana kenaikan tarif PPN, juga melakukan penundaan semua kenaikan PPN tersebut, bahkan seharusnya menurunkan PPN hingga ekonomi kembali pulih. Juga memastikan tidak ada pencabutan subsidi listrik yang seharusnya membantu masyarakat kecil termasuk UMKM,"" pungkas Syarief. "
https://finance.detik.com/berita-ekonomi-bisnis/d-5607361/ppn-sembako-bikin-geger-ini-penjelasan-lengkap-ditjen-pajak,"PPN Sembako Bikin Geger, Ini Penjelasan Lengkap Ditjen Pajak","Selasa, 15 Jun 2021 21:38 WIB","Rencana pajak pertambahan nilai (PPN) untuk sembako hingga jasa pendidikan bikin heboh. Isu PPN ini terus bergulir dan menjadi buah bibir di masyarakat. Direktorat Jenderal Pajak (DJP) Kementerian Keuangan pun buka suara. Melalui surat elektronik (email) yang dikirim Direktorat Penyuluhan, Pelayanan, dan Hubungan Masyarakat(Direktorat P2 Humas) kepada para wajib pajak, DJP memberi klarifikasi seputar rencana tersebut. Berikut isi suratnya Terima kasih atas partisipasi Saudara selama ini dalam melakukan pembayaran pajak. Berkenaan dengan maraknya pemberitaan mengenai pengenaan Pajak Pertambahan Nilai (PPN) atas sembako maupun jasa pendidikan di Indonesia dengan ini disampaikan bahwa berita yang beredar merupakan informasi yang tidak berasal dari sumber resmi pemerintah. Saat ini pemerintah sedang fokus terhadap upaya penanggulangan COVID-19 dengan melakukan berbagai upaya untuk melindungi masyarakat dan menolong dunia usaha agar dapat bangkit dan pulih akibat pandemi. Di tengah situasi pelemahan ekonomi akibat pandemi, pemerintah memandang perlu menyiapkan kerangka kebijakan perpajakan, di antaranya usulan perubahan pengaturan PPN. Ada pun poin-poin penting usulan perubahan di antaranya adalah pengurangan berbagai fasilitas PPN karena dinilai tidak tepat sasaran dan untuk mengurangi distorsi; penerapan multitarif,dengan mengenakan tarif PPN yang lebih rendah daripada tarif umum misalnya atas barang-barang yang dikonsumsi masyarakat berpenghasilan menengah ke bawah; dan tarif PPN yang lebih tinggi daripada tarif umum untuk barang-barang yang tergolong mewah yang dikonsumsi masyarakat berpenghasilan tinggi.Bahkan untuk jenis barang tertentu akan dikenai PPN Final untuk tujuan kesederhanaan dan kemudahan. Rencana ini akan dibahas lebih lanjut bersama DPR dan tentunya akan mendengarkan masukan dari seluruh pemangku kepentingan agar lebih baik dan adil, dengan tetap mengedepankan prinsip keadilan, gotong-royong, serta meningkatkan kontribusi kelompok yang mampu dengan kompensasi dan subsidi yang lebih tepat sasaran. Demikian disampaikan. Selamat menjalankan aktifitas dengan terus menjaga protokol kesehatan. Terima kasih.Salam,Direktorat Penyuluhan, Pelayanan, dan Hubungan Masyarakat Direktorat Jenderal Pajak"
https://finance.detik.com/berita-ekonomi-bisnis/d-5607279/penjelasan-kemenkeu-soal-ppn-sembako-yang-lebih-merakyat,PENJELASAN Kemenkeu soal PPN Sembako yang Lebih Merakyat,"Selasa, 15 Jun 2021 20:47 WIB","Kementrian Keuangan (Kemenkeu) menjelaskan kepada publik mengenai wacana pajak pertambahan nilai (PPN) dalam sektor sembako melalui perumpamaan harga daging sapi di kalangan masyarakat. Ungkapan tersebut diunggah melalui akun Facebook resmi Kementrian Keuangan. ""Daging sapi kelas premium harganya berkali-kali lipat dari daging sapi lokal,"" tulis akun resmi Kemenkeu seperti dilihat detikcom, Selasa (15/6/2021). Lebih lanjut, dalam postingan itupun Kemenkeu menjelaskan perbedaan konsumsi daging premium dan lokal. Menurutnya, daging premium biasa dikonsumsi oleh kalangan masyarakat berkemampuan. ""Tentunya, tidak semua orang mengkonsumsi daging ini. Daging premium ini biasanya dinikmati oleh masyarakat yang memiliki kemampuan,"" ujarnya. Pihaknya pun menjelaskan, saat ini daging dan semua jenis sembako masih dikecualikan dalam pajak pertambahan nilai (PPN). Namun, wacana mengenai PPN Sembako pun dinilai sebagai bentuk aspek keadilan dan gotong royong meningkatkan kepatuhan pajak. ""Jadi, terbayang kan kalau pembeli daging di pasar dan pembeli daging premium sama-sama tidak bayar pajak. Sekarang, Pemerintah sedang menyiapkan reformasi sistem PPN yang menonjolkan aspek keadilan dan gotong royong untuk meningkatkan kepatuhan pajak,"" imbuhnya. Dalam postingan tersebut dijelaskan pula bahwa tidak semua jenis sembako akan dikenai pajak. Pihaknya pun menegaskan kembali bahwa komoditas sembako yang dijual di pasar tradisional tidak akan dikenai pajak. ""Dalam sistem baru yang disiapkan, sembako akan jadi Barang Kena Pajak. Tapi, bukan berarti semua jenis sembako bakal kena pajak. Jadi, tak perlu khawatir. Sembako yang dijual di pasar tradisional tetap bebas pajak,"" tandasnya. Seperti diketahui, Pemerintah berencana mengenakan pajak pertambahan nilai (PPN) untuk sembako. Sembako kena PPN itu tercantum dalam draft RUU Perubahan Kelima Atas Undang-undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan (KUP) yang diterima detikcom. Dalam pasal 4A, barang kebutuhan pokok yang sangat dibutuhkan oleh rakyat banyak dihapus dalam RUU KUP sebagai barang yang tidak dikenakan PPN. Dengan kata lain, sembako akan dikenakan PPN."
https://news.detik.com/berita-jawa-barat/d-5606698/tolak-wacana-ppn-sembako-pedagang-cianjur-pikirkan-rakyat-kecil,"Tolak Wacana PPN Sembako, Pedagang Cianjur: Pikirkan Rakyat Kecil!","Selasa, 15 Jun 2021 15:39 WIB","Pedagang pasar tradisional di Kabupaten Cianjur khawatir harga sembako melonjak bila wacana pajak pertambahan nilai (PPN) untuk sembako ditetapkan. Hal itu dinilai akan menyengsarakan masyarakat di tengah pandemi. Ketua Dewan Perwakilan Pedagang (DPP) Pasar Induk Cianjur Hud Al Idrus mengatakan meski tidak langsung diterapkan pada pedagang kecil, pemberlakuan pajak tetap akan berdampak pada harga sembako di pasar tradisional. ""Misalnya nanti yang dikenakan hanya yang di jajaran atas, tapi kan pedagang ambil barang dari distributor. Sudah pasti nanti harga ikut naik karena yang pemain besar ini juga tidak mau rugi,"" ujar Hud Al Idrus, Selasa (15/6/2021). ""Makanya mau bagaimanapun, baik langsung ataupun tidak secara langsung, akan berdampak pada harga jika memang diterapkan. Ini yang kami khawatirkan, sebab yang susah tetap rakyat,"" dia menambahkan. Dia berharap wacana tersebut dipertimbangkan lagi agar masyarakat tidak semakin dibebankan di tengah kondisi pandemi COVID-19 ini. ""Ekonomi turun drastis karena COVID-19, setidaknya pikirkan rakyat kecil. Nanti masyarakat menilai juga, kenapa rakyat kecil dibebankan, tapi yang kaya beli mobil ada keringanan pajak,"" tutur Hud Al Idrus. Asep, pedagang Pasar Cipanas, menuturkan bila tarif pajak dikenakan ke pengusaha yang berpenghasilan tinggi, itu akan tetap berpengaruh pada harga di pasar. ""Beban pajak akan juga dirasakan ke pedagang kecil. Karena supplier atau distributor besar juga tak mah rugi. Asalnya tetap pada keuntungan, jadi bebannya itu dibagi dengan menaikkan harga. Otomatis harga di tingkat bawah akan tinggi,"" katanya. Namun, kata dia, saat ini harga kebutuhan pokok di pasar tradisional masih stabil. ""Kalau sekarang masih stabil, tidak tahu kalau sudah diberlakukan PPN. Makanya kami harap wacana itu tidak jadi,"" ucap Asep. "
https://news.detik.com/berita-jawa-timur/d-5606422/respons-ibu-hamil-di-surabaya-soal-rencana-biaya-melahirkan-kena-ppn,Respons Ibu Hamil di Surabaya soal Rencana Biaya Melahirkan Kena PPN,"Selasa, 15 Jun 2021 13:16 WIB","Pemerintah berencana memberi Pajak Pertambahan Nilai (PPN) pada sembako, sekolah dan jasa kesehatan. Layanan dokter umum dan biaya melahirkan bisa kena PPN. Bagaimana respons ibu hamil mengenai rencana tersebut? Salah seorang ibu hamil di Surabaya, Paras Cindy (26) mengaku tidak setuju jika biaya melahirkan akan kena PPN. Baginya, pandemi COVID-19 sudah membuat hidup susah, jangan ditambah dengan PPN. ""Ya jelas sangat tidak setuju lah. Masa iya melahirkan kena pajak juga. Ini wes susah (pandemi COVID-19),"" kata Cindy yang hamil 8 bulan kepada detikcom, Selasa (15/6/2021). Selain biaya melahirkan yang harus dipikirkan, imbuhnya, kebutuhan pascamelahirkan juga perlu diperhatikan. Sebab, kebutuhan usai melahirkan tak sedikit untuk bayi. ""Belum lagi kebutuhan setelah melahirkan, kan kebutuhan akeh (banyak), nggak sedikit. Ya nggak usah kena pajak lah, biasa ae,"" terangnya. Nabila (23), warga Surabaya juga keberatan dengan PPN tersebut. Sebab, tidak dijelaskan soal fasilitas tambahan jika kena PPN. ""Keberatan banget, kenapa cari pemasukannya melalui pajak-pajak. Sedangkan ga ada poin yang menjelaskan adanya kenaikan fasilitas yang bakal dikasih buat persalinan,"" kata wanita yang hamil 2 bulan ini. Nabila urun saran, setidaknya ada peningkatan pelayanan jika biaya melahirkan diberi PPN. Agar masyarakat paham, kalau pajak itu manfaatnya buat rakyat juga. ""Misal SDM bidan dan dokternya ditingkatkan, ada potongan di biaya perawatan pascamelahirkan, biaya kamar atau obat-obatannya,"" paparnya. Dalam ayat (3) Pasal 4 UU KUP yang masih berlaku saat ini, pelayanan kesehatan medis tergolong tidak dikenakan PPN. Namun kini dalam draf perubahan RUU KUP, jasa rumah pelayanan kesehatan dihapus dari golongan bebas PPN. Jika rencana tersebut direalisasi, jasa layanan medis akan dikenakan PPN. Mengingat, Peraturan Menteri Keuangan Nomor 82/PMK.03/2012 mencatat jasa layanan medis mencakup dokter umum, dokter spesialis, dan dokter gigi. Kemudian, jasa ahli kesehatan seperti ahli akupuntur, ahli gigi, ahli gizi, ahli fisioterapi, dan jasa dokter hewan. Selain itu, juga mencakup jasa kebidanan dan dukun bayi, jasa paramedis dan perawat, jasa rumah sakit, rumah bersalin, klinik kesehatan, laboratorium kesehatan, sanatorium jasa psikologi dan psikiater, hingga jasa pengobatan alternatif. Staf khusus Menteri Keuangan (Menkeu), Yustinus Prastowo dalam waktu sebelumnya menyebut, rencana pengenaan PPN pada pada sembako, jasa pendidikan, dan kesehatan tidak untuk waktu dekat, melainkan setelah kondisi ekonomi nasional pulih dari imbas pandemi COVID-19. Menurutnya, hingga kini, perubahan RUU tersebut belum dibahas di DPR sama sekali.  Simak video 'Wacana Pajak Layanan Medis Bikin Dokter dan Pasien Khawatir':   [Gambas:Video 20detik] "
https://finance.detik.com/berita-ekonomi-bisnis/d-5606030/podcast-sembako-sekolah-dipajaki-buat-siapa-bersama-tulus-abadi,Podcast: Sembako-Sekolah Dipajaki buat Siapa? (Bersama Tulus Abadi),"Selasa, 15 Jun 2021 09:15 WIB","Draf RUU Perubahan Kelima Atas Undang-undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan (KUP) bocor ke publik. Dari draf tersebut, diketahui pemerintah berniat mengeluarkan dua jenis barang dan 11 jenis jasa dari daftar bebas Pajak Pertambahan Nilai (PPN). Artinya, kedua jenis barang dan 11 jenis jasa tersebut berpotensi dikenakan PPN ke depan. Bocornya draf ini pun bikin publik heboh. Pasalnya, sejumlah jenis barang dan jasa yang berpotensi kena PPN merupakan kebutuhan dasar yang dianggap memberatkan masyarakat, di antaranya jasa pendidikan seperti sekolah hingga sembako. Rencana ini juga mendapat badai protes dari berbagai lapisan masyarakat, mulai dari buruh, pedagang pasar, politikus, ekonom, hingga lembaga perlindungan konsumen. Apa yang harus diwanti-wanti dari rencana pengenaan PPN ini? Bersama Ketua Pengurus Harian YLKI Tulus Abadi, simak obrolannya di episode terbaru podcast Tolak Miskin 'Sembako-Sekolah Dipajaki buat Siapa?'. Dengarkan lewat widget di bawah ini atau temukan Tolak Miskin di Spotify.  "
https://finance.detik.com/berita-ekonomi-bisnis/d-5605878/cuma-yang-premium-sembako-di-pasar-tradisional-tak-akan-kena-ppn,"Cuma yang Premium, Sembako di Pasar Tradisional Tak Akan Kena PPN","Selasa, 15 Jun 2021 05:30 WIB","Direktorat Jenderal Pajak (DJP) meluruskan soal rencana Pajak Pertambahan Nilai (PPN) untuk sembako yang jadi polemik. Hal itu memang diakui akan diberlakukan untuk menyasar kalangan menengah atas. Direktur Penyuluhan, Pelayanan dan Hubungan Masyarakat DJP, Neilmaldrin Noor mengatakan tidak semua sembako akan dikenakan PPN. Melainkan hanya bahan-bahan kebutuhan pokok yang sifatnya premium. ""Terkait sembako tadi misalnya barang-barang kebutuhan pokok yang dijual di pasar tradisional ini tentunya tidak dikenakan PPN. Akan berbeda ketika sembako ini sifatnya premium, (jadi) barang-barang kebutuhan pokok yang dikenakan (pajak) adalah kebutuhan pokok premium,"" katanya dalam media briefing soal perubahan UU KUP, Senin (14/6/2021). Saat ini sembako seperti beras hingga daging apapun jenis dan harganya tidak dikenakan PPN sehingga memicu kondisi tidak tepat sasaran. Ke depan diharapkan harga beras biasa akan berbeda kebijakannya dengan beras premium, begitu juga untuk daging segar wagyu dan daging segar yang ada di pasar tradisional. ""Dengan begini menciptakan keadilan bagi seluruh masyarakat dan kita berfokus pada golongan menengah bawah yang saat ini lebih merasakan bagaimana situasi dan kondisi,"" tuturnya. Sayangnya Neilmaldrin belum mau membeberkan berapa besaran bahan pokok premium yang akan dikenakan PPN tersebut. Semuanya disebut masih perlu pembahasan dengan DPR RI. ""Terkait dengan tarif tentunya saya tidak bisa mendahului karena ini masih ada pembahasan yang harus sama-sama kita ikuti nantinya bagaimana pembahasan itu karena sangat tidak elok ketika saya menyampaikan sesuatu yang tidak pasti,"" tandasnya."
https://finance.detik.com/berita-ekonomi-bisnis/d-5605806/bertemu-pedagang-sri-mulyani-pastikan-sembako-di-pasar-tak-kena-ppn,"Bertemu Pedagang, Sri Mulyani Pastikan Sembako di Pasar Tak Kena PPN","Senin, 14 Jun 2021 21:21 WIB","Di tengah memanasnya perhatian publik terkait rencana pengenaan pajak pertambahan nilai (PPN) terhadap barang kebutuhan pokok atau sembako, Menteri Keuangan Sri Mulyani Indrawati langsung terjun ke pasar untuk menemui pedagang. Pasar Santa di Kebayoran Baru, Jakarta Selatan dipilih jadi tujuannya kali ini. Seperti terungkap dari postingan di akun instragram @smindrawati, Sri Mulyani menggunakan kesempatan tersebut untuk memberikan penjelasan langsung kepada pedagang. ""Saya jelaskan pemerintah tidak mengenakan pajak sembako yang dijual di pasar tradisional yang menjadi kebutuhan masyarakat umum,"" tutur Sri Mulyani menyertai unggahannya seperti dikutip detikcom, Senin (14/6/2021). Pajak, lanjut dia, tak asal dipungut untuk penerimaan negara, namun disusun untuk melaksanakan azas keadilan. Misalnya beras produksi petani seperti Cianjur, rojolele, pandan wangi, dll yang merupakan bahan pangan pokok dan dijual di pasar tradisionaltidak dipungut panaj (PPN). ""Namun beras premium impor seperti beras basmati, beras shirataki yang harganya bisa 5-10 kali lipat dan dikonsumsi masyarakat kelas atas, seharusnya dipungut pajak,"" kata Sri Mulyani. Kebijakan itu juga harusnya berlaku untuk produk daging. Daging sapi atau kerbau yang dijual di pasar, tentu tak dikenai biaya. Namun daging sapi premium impor seperti Kobe dan Wagyu yang harganya bisa 15 kali lipat harga daging di pasar, menurut Sri Mulyani harus dibedakan perlakuan pajaknya. Kelompok pangan premium itu yang menurutnya harus kena PPN. ""Itu asas keadilan dalam perpajakan dimana yang lemah dibantu dan dikuatkan dan yang kuat membantu dan berkontribusi,"" tegas Sri Mulyani.  Simak video 'Daftar Bahan Pokok yang Kena Pajak PPN 12%':  [Gambas:Video 20detik] "
https://finance.detik.com/berita-ekonomi-bisnis/d-5605378/berobat-ke-dokter-hingga-bersalin-juga-berpotensi-kena-ppn,Berobat ke Dokter hingga Bersalin Juga Berpotensi Kena PPN,"Senin, 14 Jun 2021 17:10 WIB","Tak hanya jasa pendidikan atau sekolah yang bakal dikenakan pajak pertambahan nilai (PPN). Rencananya, jasa pelayanan kesehatan medis mulai dari jasa dokter umum sampai persalinan juga berpotensi dikenakan PPN. Hal ini juga tertuang dalam draf rancangan perubahan kelima atas Undang-Undang nomor 6 tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan (RUU KUP). Dalam draf tersebut, ada dua jenis barang dan 11 jenis jasa yang dikeluarkan dari daftar bebas Pajak Pertambahan Nilai (PPN). Pada Undang-undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan (KUP), jasa pelayanan kesehatan medis masih tergolong jasa yang tidak dikenakan PPN. Artinya, jika rencana tersebut direalisasi, jasa layanan medis berpotensi dikenakan PPN. Layanan seperti apa saja yang bisa dikenakan PPN? Menurut Peraturan Menteri Keuangan nomor 82/PMK.03/2012 jasa layanan medis sendiri mencakup dokter umum, dokter spesialis, dan dokter gigi. Kemudian, jasa ahli kesehatan seperti ahli akupuntur, ahli gigi, ahli gizi, ahli fisioterapi, dan jasa dokter hewan. Selain itu, juga mencakup jasa kebidanan dan dukun bayi, jasa paramedis dan perawat, jasa rumah sakit, rumah bersalin, klinik kesehatan, laboratorium kesehatan, sanatorium jasa psikologi dan psikiater, hingga jasa pengobatan alternatif. Selain jasa pendidikan dan jasa pelayanan kesehatan medis, jasa lain yang berpotensi dikenai PPN yakni jasa pelayanan sosial, jasa pengiriman surat dengan perangko, jasa keuangan, dan jasa asuransi. Bukan hanya itu, jasa penyiaran yang tidak bersifat iklan, jasa angkutan umum di darat dan air serta jasa angkutan udara dalam negeri yang tidak terpisahkan dari jasa angkutan udara luar negeri, hingga jasa tenaga kerja juga akan dikenakan PPN. Sedangkan, untuk jenis barang yang bakal dikenai PPN selain sembako adalah barang hasil pertambangan dan hasil pengeboran yang diambil langsung dari sumbernya, tidak termasuk hasil pertambangan batu bara."
