SEKOLAH SI JEDDAH TINGKAT SMA,90101016,Negeri,SMA,Pemerintah Daerah,0106/O/1980,2014-01-30,0106/O/1980,2014-01-30,Tidak ada,NCB,Jeddah Main Branch Saudi Arabia,Indonesia Consulate General RI Jeddah,0,0,Bersedia Menerima,Pagi,Proses Sertifikasi,PLN,2000,Lainnya,ALI M. AL-HAMRANI ST. (299) NO. 33 PO. BOX. 10 JEDDAH 21411 SAUDI ARABIA,0 / 0,Al Rehab,Jeddah,Jeddah,Arab Saudi,Luar Negeri,21411,21.5452000,39.2350000
Sekolah SI Den Haag,90101003,Negeri,SMA,Pemerintah Pusat,-,2014-01-24,-,2014-01-24,Tidak ada,-,-,-,0,0,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,Lainnya,10000,Lainnya (Serat Optik),"Rijksstraatweg 679, 2245 CB Wassenaar, The Netherlands",0 / 0,Kerkehout,Wassenaar,Wassenaar,Belanda,Luar Negeri,-,52.1141000,4.3742000
SEKOLAH INDONESIA KOTA KINABALU TINGKAT SMA,90101053,Negeri,SMA,Pemerintah Pusat,KP/JPS.SEK I,2014-12-17,094/O/2008,2008-08-14,Tidak ada,Maybank,Karamunsing,Sekolah Indonesia Kota Kinabalu,0,0,Bersedia Menerima,Sehari penuh (5 h/m),9001,PLN,21630,Lainnya,"Jalan 3B No 6 KKIP Selatan Dua Kota Kinabalu Sabah, Malaysia 88460",/,Sepanggar,Kinabalu,Kota Kinabalu,Malaysia,Luar Negeri,88460,6.0798000,116.1529000
SEKOLAH SI YANGON TINGKAT SMA,90101031,Negeri,SMA,Pemerintah Daerah,No.064/1968,1968-06-01,No.1343/2015,2015-07-14,Tidak ada,BNI,Singapura,The Indonesian Embassy Yangon,0,0,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,14000,Lainnya (Wavelan),"100, LOWER KYIMYINDINE ROAD, AHLONE YANGON, MYANMAR",0 / 0,Kyimyindine,Yangon,Yangon,Myanmar,Luar Negeri,11121,16.7827000,96.1340000
SEKOLAH SI BANGKOK TINGKAT SMA,90101028,Negeri,SMA,Yayasan,1234,2014-01-30,1234,2014-01-30,Tidak ada,Bangkok Bank,Silom Road,Indonesian Embassy,0,0,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,50000,Lainnya (Serat Optik),"INDONESIAN EMBASSY 600-602 PATCHBURI ROAD, BANGKOK 10400",0 / 0,Ratchathewi,Phayathai,Bangkok,Thailand,Luar Negeri,10400,13.7504000,100.5359000
SMAN 1 MANANGGU,40501782,Negeri,SMA,Pemerintah Daerah,134 Tahun 2007,2007-07-07,38a Tahun 2008,2008-02-22,Tidak ada,BANK SULUTGO,TILAMUTA,SMA NEGERI SATU MANANGGU/MUHIBBUN,7812,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,3000,Telkomsel Flash,JL. LINGKAR SMA DUSUN JAMBURA,0 / 0,Jambura,Mananggu,Kec. Mananggu,Kab. Boalemo,Prov. Gorontalo,96265,.5052583,122.1353567
SMAN 1 PAGUYAMAN PANTAI,40503114,Negeri,SMA,Pemerintah Daerah,200,2011-12-27,200,2011-12-27,Tidak ada,BNI,Gorontalo,SMAN 1 PAGUYAMAN PANTAI,1000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,Tidak Ada,JL. SISWA,0 / 0,Limba,Limbatihu,Kec. Paguyaman Pantai,Kab. Boalemo,Prov. Gorontalo,96372,.5121000,122.5341000
SMA NEGERI 2 WONOSARI,69899979,Negeri,SMA,Pemerintah Daerah,800/081/DISPENDIK. KAB/BL,2015-06-15,425/79/DISPENDIK/VI/2015,2015-06-01,Tidak ada,BANK SULUTGO,Tilamuta,SMA NEGERI DUA WONOSARI/ENI SETIYAWATI,17,0,Bersedia Menerima,Pagi,9001,PLN,2,Telkomsel Flash,Jln.Transmigrasi,0 / 0,Karya Bakti II,Suka Mulia,Kec. Wonosari,Kab. Boalemo,Prov. Gorontalo,96262,.7074160,122.4208940
SMAN 1 BONEPANTAI,40500913,Negeri,SMA,Pemerintah Daerah,99/SK/BILL/83,1983-09-03,035/0/1997,2007-03-07,Tidak ada,BNI,Cabang Gorontalo,SMAN 1 BONE PANTAI,20000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,16000,Telkomsel Flash,JL. SISWA NO. 25,1 / 1,Aladi,Bilungala,Kec. Bonepantai,Kab. Bone Bolango,Prov. Gorontalo,96585,.3847050,123.2165250
SMA NEGERI 1 PINOGU,69877616,Negeri,SMA,Pemerintah Daerah,194.a/KEP/BUP.BB/106/2014,2014-06-30,194.a/KEP/BUP.BB/106/2014,2014-06-30,Tidak ada,Bank Sulutgo,Suwawa,BOS SMA NEGERI 1 PINOGU,100,0,Bersedia Menerima,Sehari penuh (6 h/m),Belum Bersertifikat,Tenaga Surya,500,Tidak Ada,DESA PINOGU PERMAI,0 / 0,Dusun Satu,Pinogu,Kec. Pinogu,Kab. Bone Bolango,Prov. Gorontalo,96185,.5088000,123.4187000
