,product_name,brand_name,RAM,ResolusiKamera,UkuranLayar,KapasitasBaterai,release_date,display_name,price_mean_new,price_mean_used,price_max,price_min
0,A9 2020 8GB,OPPO,8 GB,48 MP,6.5 inch,5000 mAh,2019.0,OPPO A9 2020 8GB,2992419.4444444445,0,2925000,0
1,Y12 RAM 3GB ROM 64GB,Vivo,3 GB,13 MP,6.35 inch,5000 mAh,2019.0,Vivo Y12 RAM 3GB ROM 64GB,1565774.53125,0,1824000,0
2,A12 RAM 3GB ROM 32GB,OPPO,3 GB,13 MP,6.22 inch,4230 mAh,2020.0,OPPO A12 RAM 3GB ROM 32GB,1730596.1538461538,0,1699000,0
3,A92,OPPO,8 GB,48 MP,5.6 inch,5000 mAh,2020.0,OPPO A92,3434992.3,0,3550000,0
4,Y50,Vivo,8 GB,16 MP,6.53 inch,5000 mAh,2020.0,Vivo Y50,3206588.461538461,0,3174000,0
5,Redmi Note 9 Pro RAM 8GB ROM 128GB,Xiaomi,8 GB,64 MP,6.67 inch,5020 mAh,2020.0,Xiaomi Redmi Note 9 Pro RAM 8GB ROM 128GB,3708061.2244897964,0,3800000,0
6,Z1 Pro RAM 6GB ROM 128GB,Vivo,6 GB,16 MP,6.53 inch,5000 mAh,2019.0,Vivo Z1 Pro RAM 6GB ROM 128GB,2876131.1111111115,0,2550000,0
7,5i RAM 4GB ROM 64GB,Realme,4 GB,12 MP,6.52 inch,5000 mAh,2019.0,Realme 5i RAM 4GB ROM 64GB,1794462.4260355032,0,1874800,0
8,A5s RAM 3GB ROM 32GB,OPPO,3 GB,13 MP,6.2 inch,4230 mAh,2019.0,OPPO A5s RAM 3GB ROM 32GB,1547476.4976303317,0,1550000,0
9,Redmi 8 RAM 4GB ROM 64GB,Xiaomi,4 GB,12 MP,6.22 inch,5000 mAh,2019.0,Xiaomi Redmi 8 RAM 4GB ROM 64GB,1641683.333333333,0,1550000,0
10,Y17,Vivo,4 GB,13 MP,6.35 inch,5000 mAh,2019.0,Vivo Y17,1945456.111111111,0,1749000,0
11,Redmi Note 7 RAM 4GB ROM 64GB,Xiaomi,4 GB,48 MP,6.3 inch,4000 mAh,2019.0,Xiaomi Redmi Note 7 RAM 4GB ROM 64GB,1838200.4784689,0,1775000,1675000
12,Galaxy A20S RAM 4GB ROM 64GB,Samsung,4 GB,13 MP,6.5 inch,4000 mAh,2019.0,Samsung Galaxy A20S RAM 4GB ROM 64GB,2113081.666666666,0,2200000,0
13,Galaxy A20,Samsung,3 GB,13 MP,6.4 inch,4000 mAh,2019.0,Samsung Galaxy A20,1763438.333333333,0,1900000,0
14,V19 128GB,Vivo,8 GB,48 MP,6.44 inch,4500 mAh,2020.0,Vivo V19 128GB,3724450.3740458004,0,3499000,0
15,5 Pro RAM 4GB ROM 128GB,Realme,4 GB,48 MP,6.3 inch,4035 mAh,2019.0,Realme 5 Pro RAM 4GB ROM 128GB,2463498.611111111,0,2549000,0
16,F9 RAM 4GB,OPPO,4 GB,16 MP,6.3 inch,3500 mAh,2018.0,OPPO F9 RAM 4GB,1706942.2222222222,0,1650000,0
17,C11 RAM 2GB ROM 32GB,Realme,2 GB,13 MP,6.5 inch,5000 mAh,2020.0,Realme C11 RAM 2GB ROM 32GB,1506031.25,0,1489000,0
18,iPhone 7 Plus 128GB,Apple,3 GB,12 MP,5.5 inch,2900 mAh,2016.0,Apple iPhone 7 Plus 128GB,4597476.3059210535,0,5300000,4150000
19,A5 2020 RAM 4GB ROM 128GB,OPPO,4 GB,12 MP,6.5 inch,5000 mAh,2019.0,OPPO A5 2020 RAM 4GB ROM 128GB,2316569.277777778,0,2399000,0
20,Redmi 5A RAM 3GB ROM 32GB,Xiaomi,3 GB,13 MP,5 inch,3000 mAh,2017.0,Xiaomi Redmi 5A RAM 3GB ROM 32GB,1008049.7512437813,0,945000,0
21,A9 2020 8GB,OPPO,8 GB,48 MP,6.5 inch,5000 mAh,2019.0,OPPO A9 2020 8GB,2992419.4444444445,0,2925000,0
22,Y12 RAM 3GB ROM 64GB,Vivo,3 GB,13 MP,6.35 inch,5000 mAh,2019.0,Vivo Y12 RAM 3GB ROM 64GB,1565774.53125,0,1824000,0
23,A12 RAM 3GB ROM 32GB,OPPO,3 GB,13 MP,6.22 inch,4230 mAh,2020.0,OPPO A12 RAM 3GB ROM 32GB,1730596.1538461538,0,1699000,0
24,A92,OPPO,8 GB,48 MP,5.6 inch,5000 mAh,2020.0,OPPO A92,3434992.3,0,3550000,0
25,Y50,Vivo,8 GB,16 MP,6.53 inch,5000 mAh,2020.0,Vivo Y50,3206588.461538461,0,3174000,0
26,Redmi Note 9 Pro RAM 8GB ROM 128GB,Xiaomi,8 GB,64 MP,6.67 inch,5020 mAh,2020.0,Xiaomi Redmi Note 9 Pro RAM 8GB ROM 128GB,3708061.2244897964,0,3800000,0
27,Z1 Pro RAM 6GB ROM 128GB,Vivo,6 GB,16 MP,6.53 inch,5000 mAh,2019.0,Vivo Z1 Pro RAM 6GB ROM 128GB,2876131.1111111115,0,2550000,0
28,5i RAM 4GB ROM 64GB,Realme,4 GB,12 MP,6.52 inch,5000 mAh,2019.0,Realme 5i RAM 4GB ROM 64GB,1794462.4260355032,0,1874800,0
29,A5s RAM 3GB ROM 32GB,OPPO,3 GB,13 MP,6.2 inch,4230 mAh,2019.0,OPPO A5s RAM 3GB ROM 32GB,1547476.4976303317,0,1550000,0
30,Redmi 8 RAM 4GB ROM 64GB,Xiaomi,4 GB,12 MP,6.22 inch,5000 mAh,2019.0,Xiaomi Redmi 8 RAM 4GB ROM 64GB,1641683.333333333,0,1550000,0
31,Y17,Vivo,4 GB,13 MP,6.35 inch,5000 mAh,2019.0,Vivo Y17,1945456.111111111,0,1749000,0
32,Redmi Note 7 RAM 4GB ROM 64GB,Xiaomi,4 GB,48 MP,6.3 inch,4000 mAh,2019.0,Xiaomi Redmi Note 7 RAM 4GB ROM 64GB,1838200.4784689,0,1775000,1675000
33,Galaxy A20S RAM 4GB ROM 64GB,Samsung,4 GB,13 MP,6.5 inch,4000 mAh,2019.0,Samsung Galaxy A20S RAM 4GB ROM 64GB,2113081.666666666,0,2200000,0
34,Galaxy A20,Samsung,3 GB,13 MP,6.4 inch,4000 mAh,2019.0,Samsung Galaxy A20,1763438.333333333,0,1900000,0
35,V19 128GB,Vivo,8 GB,48 MP,6.44 inch,4500 mAh,2020.0,Vivo V19 128GB,3724450.3740458004,0,3499000,0
36,5 Pro RAM 4GB ROM 128GB,Realme,4 GB,48 MP,6.3 inch,4035 mAh,2019.0,Realme 5 Pro RAM 4GB ROM 128GB,2463498.611111111,0,2549000,0
37,F9 RAM 4GB,OPPO,4 GB,16 MP,6.3 inch,3500 mAh,2018.0,OPPO F9 RAM 4GB,1706942.2222222222,0,1650000,0
38,C11 RAM 2GB ROM 32GB,Realme,2 GB,13 MP,6.5 inch,5000 mAh,2020.0,Realme C11 RAM 2GB ROM 32GB,1506031.25,0,1489000,0
39,iPhone 7 Plus 128GB,Apple,3 GB,12 MP,5.5 inch,2900 mAh,2016.0,Apple iPhone 7 Plus 128GB,4597476.3059210535,0,5300000,4150000
40,A5 2020 RAM 4GB ROM 128GB,OPPO,4 GB,12 MP,6.5 inch,5000 mAh,2019.0,OPPO A5 2020 RAM 4GB ROM 128GB,2316569.277777778,0,2399000,0
41,Redmi 5A RAM 3GB ROM 32GB,Xiaomi,3 GB,13 MP,5 inch,3000 mAh,2017.0,Xiaomi Redmi 5A RAM 3GB ROM 32GB,1008049.7512437813,0,945000,0
42,A5 2020 RAM 3GB ROM 64GB,OPPO,3 GB,12 MP,6.5 inch,5000 mAh,2019.0,OPPO A5 2020 RAM 3GB ROM 64GB,1912324.4444444443,0,2000000,0
43,Y91C,Vivo,2 GB,12 MP,6.22 inch,4030 mAh,2019.0,Vivo Y91C,1185802.083333333,0,1249000,0
44,Redmi Note 8 RAM 4GB ROM 64GB,Xiaomi,4 GB,48 MP,6.3 inch,4000 mAh,2019.0,Xiaomi Redmi Note 8 RAM 4GB ROM 64GB,2071260.0,0,2080000,0
45,Y30,Vivo,4 GB,13 MP,6.57 inch,5000 mAh,2020.0,Vivo Y30,2385012.6582278484,0,2239000,0
46,Mi 8 64GB,Xiaomi,6 GB,12 MP,6.21 inch,3400 mAh,2018.0,Xiaomi Mi 8 64GB,3586561.1111111115,0,3500000,0
47,F5 RAM 4GB ROM 32GB,OPPO,4 GB,16 MP,6 inch,3200 mAh,2017.0,OPPO F5 RAM 4GB ROM 32GB,1618377.3280423281,0,1370000,0
