user_id,username,alpha_badge,review_count,account_level,badges
whidiea_wede,Widya WeDe,no badge,200,11,"Kopi,Dessert,"
laela_marlina,Laela Marlina,no badge,28,5,no badge
ExpelliarFood,Tristo,no badge,336,12,"Steak,Seafood,Kopi,Bakmi,Burger,Dessert,"
henie_herliani,Henie Herliani,no badge,205,11,"Kopi,Bakmi,Bubble Tea,"
nyayu_ista,Nyayu Ista Yulita,no badge,114,9,"Kopi,"
ana_farkhana,Ana Farkhana,no badge,422,13,"BBQ,Kopi,Bakmi,Pizza,Pasta,Dessert,"
hendy_christianto_chandra,Chris Chan,no badge,2050,19,"Steak,Ramen,Chinese Food,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
monaham_fachrudin,Wish Dish,no badge,69,8,"Kopi,"
DiantyDwi,Dianty Dwi,no badge,327,12,"Kopi,Bakmi,Pizza,Dessert,"
Novita,Novita Purnamasari,no badge,301,13,"Steak,Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,"
babajer234,Suka Kopi & Ngemil,no badge,57,7,"Kopi,"
demia_kamil,@demialicious,no badge,71,8,"Kopi,Dessert,"
putriprmta,Putri,no badge,10,2,no badge
AndaraNila,andaranila,no badge,837,16,"Steak,Ramen,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,"
fajar_rismawan,Fajar | @tuanngopi,no badge,74,8,"Kopi,"
nabila_yasmin,Mouthgasm.jkt,Alfa 2021,1758,20,"Steak,Ramen,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
marcella_marcella,Mrc Mrc,no badge,4,2,no badge
fatirrahmah_nandika,Fatirrahmah Nandika,no badge,11,3,no badge
iin_puspasari,Iin Puspasari,no badge,91,8,"Dessert,"
dinda_ayur,Dinda Ayur,no badge,1,1,no badge
sora_dee,widya Sartika,no badge,1,1,no badge
widya_nuraini,widya nuraini,no badge,1,1,no badge
dera_rya,Dera Rya,no badge,1,1,no badge
isa_sugiharto,Isa Sugiharto,no badge,7,2,no badge
dhea_salsabila,Dhea Salsabila,no badge,1,1,no badge
nuybiebeauteen,nuybiebeauteen,no badge,1,1,no badge
widya_limmena,Widya Lim,no badge,1,1,no badge
pradyta_febriana_rudiyanto,Pradyta Febriana Rudiyanto,no badge,1,1,no badge
ayu_oktariana,a bogus foodie,no badge,308,12,"Steak,Ramen,Kopi,Bakmi,Pasta,Burger,Dessert,"
kuliner_addict_bandung,Kuliner Addict Bandung,no badge,857,15,"Steak,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,"
